Word,Count
WHICH,3140226612
THEIR,2152980325
THERE,1623700147
WOULD,1472811049
OTHER,1383185827
THESE,1305787385
ABOUT,1070877995
FIRST,923189150
COULD,886891028
AFTER,802220137
THOSE,691668501
WHERE,671644491
BEING,616194541
UNDER,585610545
YEARS,563247544
GREAT,557149997
STATE,553386027
WORLD,505870068
THREE,487787199
WHILE,483440546
FOUND,436617767
MIGHT,409560494
STILL,408263128
RIGHT,405717045
PLACE,401396238
EVERY,393306866
POWER,374440251
SINCE,371590865
GIVEN,370958373
NEVER,367408537
ORDER,360669813
WATER,355340324
SMALL,350484848
SHALL,343397728
LARGE,342399659
POINT,333858038
AGAIN,326183679
OFTEN,325385700
AMONG,321351351
HOUSE,316642686
WOMEN,311778830
GROUP,284672959
THINK,282298331
HUMAN,279027691
LATER,269420608
UNTIL,266946065
WHOLE,264397495
EARLY,262989441
MEANS,261935832
ABOVE,257260161
VALUE,251727013
STUDY,251146114
TABLE,247925745
TAKEN,244444700
TIMES,244274912
KNOWN,242748318
COURT,235765991
YOUNG,233692423
WORDS,227368818
WHITE,223783182
LIGHT,223142561
LEAST,219366839
LEVEL,217515046
CHILD,214513506
DEATH,214241154
PRESS,211628967
CASES,207684567
GOING,207111364
PARTY,203139462
USING,201536862
SENSE,197220509
BASED,197020666
WHOSE,196188708
SOUTH,194907298
TOTAL,194645191
CLASS,193633305
LOCAL,188970118
ALONG,186532177
TERMS,183434872
MONEY,182729316
BLACK,181542099
FORCE,179566043
NORTH,178650422
NIGHT,177813198
SHORT,176858591
FIELD,176569485
ASKED,173745399
QUITE,173456485
THING,172738438
WOMAN,168921413
MAJOR,168841614
THIRD,164752523
SHOWN,164618363
BEGAN,163262683
CAUSE,162187677
HEART,161254474
SEEMS,158520801
TRADE,157534593
CLEAR,155451094
MODEL,155409143
LOWER,145218962
CLOSE,144027294
BLOOD,143765938
HANDS,140696114
STORY,136788548
FORMS,136468034
PAPER,135586065
WORKS,134992496
AREAS,134941395
PARTS,133867316
UNION,131560771
RIVER,129050101
BOOKS,128685076
SPACE,127941942
PRICE,127365117
MAKES,125236883
BASIS,123422191
ALONE,122890524
BELOW,122666600
EARTH,121334649
HEARD,121054582
LINES,119425686
HOURS,119182573
RANGE,118834139
TRUTH,118722538
BOARD,117325679
NEEDS,116865318
FRONT,114244970
SHOWS,113416183
LEAVE,111442661
CELLS,111296827
MARCH,111017382
DOING,109588230
STAGE,109565790
TODAY,108960014
LABOR,108728677
VOICE,105822860
BRING,105435509
PEACE,105430654
CHIEF,104936898
ADDED,104772904
ISSUE,103420145
EQUAL,103238744
INDIA,103234898
BASIC,102960618
TYPES,102702549
MUSIC,102628158
JAMES,102601697
WROTE,101295092
SOUND,98359048
IDEAS,96892979
FINAL,96624825
MILES,96533288
RULES,95446866
GIVES,93485484
CROSS,92631653
MORAL,92086790
FAITH,91679190
LEGAL,91243628
COMES,91173579
CIVIL,90893209
BUILT,88977072
ROUND,88680611
SCALE,87945524
WRITE,87398762
DOUBT,86837636
APRIL,86612130
SEVEN,86326705
COSTS,85952250
GREEN,84883858
TAKES,84145451
IMAGE,83929870
PLANT,83847060
SPEAK,83469645
LIVES,83154557
PARIS,83003865
TRIED,82422379
CHINA,82354191
UPPER,82015080
EIGHT,81515476
HENRY,81403955
STOCK,81089976
STAND,80686346
SHARE,80467423
STYLE,79906426
START,79891984
GOODS,79809435
READY,79609735
OCCUR,79479712
NOTES,79463444
RATES,79237251
STOOD,78683031
JESUS,78352447
MOVED,78308876
STAFF,77708958
BROWN,75023376
LIVED,74523682
LEARN,74450821
DAILY,74143745
ALLOW,74009167
NOTED,73569863
NAMES,73408991
PHASE,73292544
HENCE,72980522
HEAVY,72613321
FULLY,72304884
TITLE,71430817
CLAIM,71229695
FIXED,70927704
FACTS,69361489
COLOR,69334092
BEGIN,69317502
EVENT,69296813
MONTH,69201284
OFFER,68537056
WRONG,68462528
DAVID,67869725
CARRY,67589761
SERVE,67412909
WEEKS,67337561
STONE,67310166
ROYAL,66531300
TRUST,66094897
UNITS,66087714
TREES,66033516
DRAWN,64897953
FLOOR,64500064
SMITH,64298764
GLASS,64025067
JUDGE,63704000
ENEMY,63490658
JAPAN,63378888
PIECE,63366737
REACH,63077482
MEANT,62748044
VISIT,62724360
ENTER,61810749
WORTH,61649677
ROMAN,61532165
COVER,61094511
FORTH,60949516
AVOID,60713817
MOUTH,60506237
EXIST,60331721
STEPS,59851144
VIEWS,59730863
SPENT,59522444
SCENE,59437019
BRAIN,59381487
SHAPE,59292802
HAPPY,59164298
OLDER,58790316
TRIAL,58746152
PLANS,58326527
SALES,58217116
USUAL,58076335
PRIOR,58065499
APPLY,58019012
HORSE,57895565
SPEED,57878343
INDEX,57715744
BIRTH,57685653
OUGHT,57330059
NAMED,56790689
ERROR,56750399
JOINT,56586193
FOCUS,56401617
PETER,56046161
GIRLS,55618263
QUEEN,55387905
URBAN,55345225
BOUND,55126998
TESTS,55063047
KINDS,54492074
GREEK,54270831
COAST,54258062
PLATE,53932896
CHECK,53673380
WALLS,53543364
BREAK,53238563
RATIO,53210388
SIDES,52946344
SIGHT,52878422
MEDIA,52684956
BROAD,51818891
AGENT,51554982
AWARE,51535555
YOUTH,51315735
PAGES,51124390
SLEEP,50888533
ITEMS,50843917
FRESH,50740037
KNOWS,50729807
DRIVE,50557448
RURAL,49789702
METAL,49446105
GUIDE,49387650
STEEL,49352821
BANKS,48921307
SPOKE,48762095
GRAND,48540791
APART,48518165
PROVE,48293856
FIGHT,48287538
FIFTY,47736764
LATIN,47734483
GRANT,47605038
BRIEF,46999908
SOLID,46975719
FALSE,46927953
FUNDS,46652294
ITALY,45481256
FORTY,45401260
BUILD,45266402
IDEAL,45221422
LANDS,44906756
SIGNS,44832610
RAPID,44706695
CRIME,44691757
INNER,44668216
LIMIT,44392003
CALLS,44359360
PLANE,43932667
NOVEL,43656017
LOUIS,43549326
ADULT,43521833
BLOCK,43360201
STORE,43347796
LAYER,43318510
PLAIN,43237703
MAYBE,43187764
WATCH,42950958
COUNT,42657594
TOUCH,42288164
GRACE,42016481
PROOF,41818941
AGREE,41668821
CROWN,41604115
SPAIN,41588379
RADIO,41244924
LEADS,41158061
LOOKS,41153467
TRAIN,41055205
INPUT,41046336
MINOR,41027981
MOTOR,40987965
DEPTH,40927274
SHIPS,40502437
WANTS,40331501
MIXED,40257312
CYCLE,40130390
SITES,39892154
CURVE,39528834
ANGLE,39229069
GOALS,39150325
HEADS,39129988
DREAM,38843330
ENTRY,38732873
BIRDS,38724537
FRAME,38645040
GROWN,38488707
SUGAR,38411948
UNITY,38143462
FIRMS,38125994
OWNER,38006556
TRULY,37990392
LOVED,37832573
TAXES,37820510
YIELD,37765055
IRISH,37668890
CHAIR,37536211
